id,scraped_at,title,company_name,city,salary,salary_interval,job_type,url,industry,description,is_hybrid,is_wfh,is_fresh_grad,skills,perks
267451,2026-07-12 02:08:32,IT Asset Management Staff,Bussan Auto Finance,Kota Jakarta Selatan,,,Full time,https://www.kalibrr.com/id-ID/c/bussan-auto-finance/jobs/267451/it-asset-management-staff,Financial Services,"<p>Responsibilities: </p>

<ul>
	<li>Monitoring and recording the entry and exit of IT assets (hardware, software, application systems) and documented them in the database/system.</li>
	<li>Manage the asset life cycle process, from purchasing, installation, maintenance, and asset disposal/disposal.</li>
	<li>Follow up the expiration date and ensure all software/hardware is not expired.</li>
	<li>Perform memo approval processes and monitor the PKS (Work Agreement) for IT assets.</li>
	<li>Communicate with internal and vendors regarding IT assets.</li>
	<li>Prepare weekly and monthly reports related to the asset life cycle process.</li>
</ul>",False,False,False,,
251100,2026-07-12 02:08:32,Partner Growth & Enablement Executive,Odoo,Tangerang,10750000.0,month,Full time,https://www.kalibrr.com/id-ID/c/odoo/jobs/251100/partner-growth-enablement-executive,Information Technology / IT,"<p><strong>Your responsibilities include:</strong></p>

<ul>
	<li>Drive sales growth through implementing partners, ensuring they meet or exceed assigned revenue targets and KPIs.</li>
	<li>Build and execute joint business plans with each partner — aligning on goals, sales strategies, and target markets.</li>
	<li>Regularly review partner pipelines, identify opportunities, and provide guidance to accelerate deal closures.</li>
	<li>Actively join partners in customer meetings, sales calls, demos, and other activities to support co-selling, product positioning, and negotiation with end clients.”</li>
	<li>Monitor and report on partner sales performance, forecast accuracy, and activity levels.</li>
	<li>Collaborate with the Partner Manager and internal teams (Sales, Marketing, Technical) to enable and empower partners for success.</li>
	<li>Maintain high standards of partner performance — balancing support and accountability.</li>
	<li>Represent the voice of partners internally, ensuring they have the right tools and resources to grow.</li>
</ul>",False,False,False,,
268925,2026-07-12 02:08:32,BRANCH MARKETING MANAGER CAB.BOGOR,PT Kresna Reksa Finance,Bogor,7250000.0,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268925/branch-marketing-manager-cab-bogor,Financial Services,"<ul>
	<li>Perencanaan kegiatan cabang untuk mencapai target yang ditetapkan.</li>
	<li>Monitoring terhadap aktivitas dan kinerja tim.</li>
	<li>Evaluasi fungsi dan produktivitas cabang secara berkala.</li>
	<li>Pengelolaan pencapaian target sales cabang.</li>
	<li>Pengembangan dan covering area pemasaran.</li>
	<li>Pengelolaan dan pemeliharaan hubungan dengan customer.</li>
</ul>",True,False,False,,
268928,2026-07-12 02:08:32,BRANCH MARKETING MANAGER CAB.PURBALINGGA,PT Kresna Reksa Finance,Purbalingga,7250000.0,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268928/branch-marketing-manager-cab-purbalingga,Financial Services,"<ul>
	<li>Perencanaan kegiatan cabang untuk mencapai target yang ditetapkan.</li>
	<li>Monitoring terhadap aktivitas dan kinerja tim.</li>
	<li>Evaluasi fungsi dan produktivitas cabang secara berkala.</li>
	<li>Pengelolaan pencapaian target sales cabang.</li>
	<li>Pengembangan dan covering area pemasaran.</li>
	<li>Pengelolaan dan pemeliharaan hubungan dengan customer.</li>
</ul>",True,False,False,,
268946,2026-07-12 02:08:32,BRANCH MARKETING MANAGER CAB.KENDARI,PT Kresna Reksa Finance,Kendari,7250000.0,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268946/branch-marketing-manager-cab-kendari,Financial Services,"<ul>
	<li>Perencanaan kegiatan cabang untuk mencapai target yang ditetapkan.</li>
	<li>Monitoring terhadap aktivitas dan kinerja tim.</li>
	<li>Evaluasi fungsi dan produktivitas cabang secara berkala.</li>
	<li>Pengelolaan pencapaian target sales cabang.</li>
	<li>Pengembangan dan covering area pemasaran.</li>
	<li>Pengelolaan dan pemeliharaan hubungan dengan customer.</li>
</ul>",True,False,False,,
268953,2026-07-12 02:08:32,ACCOUNT OFFICER CAB.CIKARANG,PT Kresna Reksa Finance,Bekasi Regency,,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268953/account-officer-cab-cikarang,Financial Services,"<p>1. Akuisisi Nasabah</p>

<p>Mencari dan mendapatkan nasabah baru sesuai target perusahaan</p>

<p>Melakukan kegiatan marketing (canvassing, referensi, database, dll)</p>

<p>Menjalin relasi dengan pihak eksternal untuk memperluas jaringan</p>

<p>2. Analisa &amp; Survey Kredit</p>

<p>Melakukan survey kelayakan calon nasabah (data, usaha, jaminan)</p>

<p>Menganalisa kemampuan bayar calon nasabah</p>

<p>Memastikan data yang diberikan valid dan sesuai fakta di lapangan</p>

<p>3. Proses Pengajuan Pembiayaan</p>

<p>Membantu nasabah dalam proses pengajuan kredit</p>

<p>Melengkapi dan memastikan dokumen aplikasi sesuai ketentuan</p>

<p>Berkoordinasi dengan tim internal (credit analyst / admin)</p>

<p>4. Monitoring &amp; Maintenance Nasabah</p>

<p>Menjaga hubungan baik dengan nasabah (existing customer)</p>

<p>Melakukan follow up pembayaran agar tetap lancar</p>

<p>Mengedukasi nasabah terkait kewajiban pembayaran</p>

<p>5. Penagihan (Collection Ringan)</p>

<p>Melakukan reminder kepada nasabah yang mendekati jatuh tempo</p>

<p>Menangani keterlambatan pembayaran awal (soft collection)</p>

<p>6. Pencapaian Kinerja</p>

<p>Mencapai target yang telah ditentukan perusahaan</p>

<p>Membuat laporan aktivitas harian, mingguan, dan bulanan</p>

<p>7. Kepatuhan &amp; Prosedur</p>

<p>Menjalankan pekerjaan sesuai SOP dan kebijakan perusahaan</p>

<p>Menjaga integritas serta kerahasiaan data nasabah</p>",True,False,False,,
268955,2026-07-12 02:08:32,ACCOUNT OFFICER CAB.TANGERANG,PT Kresna Reksa Finance,Tangerang,,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268955/account-officer-cab-tangerang,Financial Services,"<p>1. Akuisisi Nasabah</p>

<p>Mencari dan mendapatkan nasabah baru sesuai target perusahaan</p>

<p>Melakukan kegiatan marketing (canvassing, referensi, database, dll)</p>

<p>Menjalin relasi dengan pihak eksternal untuk memperluas jaringan</p>

<p>2. Analisa &amp; Survey Kredit</p>

<p>Melakukan survey kelayakan calon nasabah (data, usaha, jaminan)</p>

<p>Menganalisa kemampuan bayar calon nasabah</p>

<p>Memastikan data yang diberikan valid dan sesuai fakta di lapangan</p>

<p>3. Proses Pengajuan Pembiayaan</p>

<p>Membantu nasabah dalam proses pengajuan kredit</p>

<p>Melengkapi dan memastikan dokumen aplikasi sesuai ketentuan</p>

<p>Berkoordinasi dengan tim internal (credit analyst / admin)</p>

<p>4. Monitoring &amp; Maintenance Nasabah</p>

<p>Menjaga hubungan baik dengan nasabah (existing customer)</p>

<p>Melakukan follow up pembayaran agar tetap lancar</p>

<p>Mengedukasi nasabah terkait kewajiban pembayaran</p>

<p>5. Penagihan (Collection Ringan)</p>

<p>Melakukan reminder kepada nasabah yang mendekati jatuh tempo</p>

<p>Menangani keterlambatan pembayaran awal (soft collection)</p>

<p>6. Pencapaian Kinerja</p>

<p>Mencapai target yang telah ditentukan perusahaan</p>

<p>Membuat laporan aktivitas harian, mingguan, dan bulanan</p>

<p>7. Kepatuhan &amp; Prosedur</p>

<p>Menjalankan pekerjaan sesuai SOP dan kebijakan perusahaan</p>

<p>Menjaga integritas serta kerahasiaan data nasabah</p>",True,False,False,,
268965,2026-07-12 02:08:32,ACCOUNT OFFICER CAB.PURBALINGGA,PT Kresna Reksa Finance,Purbalingga,,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268965/account-officer-cab-purbalingga,Financial Services,"<p>1. Akuisisi Nasabah</p>

<p>Mencari dan mendapatkan nasabah baru sesuai target perusahaan</p>

<p>Melakukan kegiatan marketing (canvassing, referensi, database, dll)</p>

<p>Menjalin relasi dengan pihak eksternal untuk memperluas jaringan</p>

<p>2. Analisa &amp; Survey Kredit</p>

<p>Melakukan survey kelayakan calon nasabah (data, usaha, jaminan)</p>

<p>Menganalisa kemampuan bayar calon nasabah</p>

<p>Memastikan data yang diberikan valid dan sesuai fakta di lapangan</p>

<p>3. Proses Pengajuan Pembiayaan</p>

<p>Membantu nasabah dalam proses pengajuan kredit</p>

<p>Melengkapi dan memastikan dokumen aplikasi sesuai ketentuan</p>

<p>Berkoordinasi dengan tim internal (credit analyst / admin)</p>

<p>4. Monitoring &amp; Maintenance Nasabah</p>

<p>Menjaga hubungan baik dengan nasabah (existing customer)</p>

<p>Melakukan follow up pembayaran agar tetap lancar</p>

<p>Mengedukasi nasabah terkait kewajiban pembayaran</p>

<p>5. Penagihan (Collection Ringan)</p>

<p>Melakukan reminder kepada nasabah yang mendekati jatuh tempo</p>

<p>Menangani keterlambatan pembayaran awal (soft collection)</p>

<p>6. Pencapaian Kinerja</p>

<p>Mencapai target yang telah ditentukan perusahaan</p>

<p>Membuat laporan aktivitas harian, mingguan, dan bulanan</p>

<p>7. Kepatuhan &amp; Prosedur</p>

<p>Menjalankan pekerjaan sesuai SOP dan kebijakan perusahaan</p>

<p>Menjaga integritas serta kerahasiaan data nasabah</p>",True,False,False,,
268903,2026-07-12 02:08:32,BRANCH MARKETING MANAGER CAB.CAWANG JAKTIM,PT Kresna Reksa Finance,East Jakarta,7250000.0,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268903/branch-marketing-manager-cab-cawang-jaktim,Financial Services,"<ul>
	<li>Perencanaan kegiatan cabang untuk mencapai target yang ditetapkan.</li>
	<li>Monitoring terhadap aktivitas dan kinerja tim.</li>
	<li>Evaluasi fungsi dan produktivitas cabang secara berkala.</li>
	<li>Pengelolaan pencapaian target sales cabang.</li>
	<li>Pengembangan dan covering area pemasaran.</li>
	<li>Pengelolaan dan pemeliharaan hubungan dengan customer.</li>
</ul>",True,False,False,,
268931,2026-07-12 02:08:32,BRANCH MARKETING MANAGER CAB.SURABAYA,PT Kresna Reksa Finance,Surabaya,7250000.0,month,Full time,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268931/branch-marketing-manager-cab-surabaya,Financial Services,"<ul>
	<li>Perencanaan kegiatan cabang untuk mencapai target yang ditetapkan.</li>
	<li>Monitoring terhadap aktivitas dan kinerja tim.</li>
	<li>Evaluasi fungsi dan produktivitas cabang secara berkala.</li>
	<li>Pengelolaan pencapaian target sales cabang.</li>
	<li>Pengembangan dan covering area pemasaran.</li>
	<li>Pengelolaan dan pemeliharaan hubungan dengan customer.</li>
</ul>",True,False,False,,
