id,scraped_at,title,company_name,specialization,education_level,work_experience,city,salary,salary_interval,job_type,industry,is_hybrid,is_wfh,is_fresh_grad,url
267451,2026-07-12 02:46:40,IT Asset Management Staff,Bussan Auto Finance,IT and Software,Lulus program Sarjana (S1), ,Kota Jakarta Selatan,,,Full time,Financial Services,False,False,False,https://www.kalibrr.com/id-ID/c/bussan-auto-finance/jobs/267451/it-asset-management-staff
251100,2026-07-12 02:46:40,Partner Growth & Enablement Executive,Odoo,Sales and Marketing,Lulus program Sarjana (S1), ,Tangerang,10750000.0,month,Full time,Information Technology / IT,False,False,False,https://www.kalibrr.com/id-ID/c/odoo/jobs/251100/partner-growth-enablement-executive
268925,2026-07-12 02:46:40,BRANCH MARKETING MANAGER CAB.BOGOR,PT Kresna Reksa Finance,Sales and Marketing,Lulus program Sarjana (S1), ,Bogor,7250000.0,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268925/branch-marketing-manager-cab-bogor
268928,2026-07-12 02:46:40,BRANCH MARKETING MANAGER CAB.PURBALINGGA,PT Kresna Reksa Finance,Sales and Marketing,Lulus program Sarjana (S1), ,Purbalingga,7250000.0,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268928/branch-marketing-manager-cab-purbalingga
268946,2026-07-12 02:46:40,BRANCH MARKETING MANAGER CAB.KENDARI,PT Kresna Reksa Finance,Sales and Marketing,Lulus program Sarjana (S1), ,Kendari,7250000.0,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268946/branch-marketing-manager-cab-kendari
268953,2026-07-12 02:46:40,ACCOUNT OFFICER CAB.CIKARANG,PT Kresna Reksa Finance,Sales and Marketing,Lulus SMA, ,Bekasi Regency,,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268953/account-officer-cab-cikarang
268955,2026-07-12 02:46:40,ACCOUNT OFFICER CAB.TANGERANG,PT Kresna Reksa Finance,Sales and Marketing,Lulus SMA, ,Tangerang,,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268955/account-officer-cab-tangerang
268965,2026-07-12 02:46:40,ACCOUNT OFFICER CAB.PURBALINGGA,PT Kresna Reksa Finance,Sales and Marketing,Lulus SMA, ,Purbalingga,,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268965/account-officer-cab-purbalingga
268903,2026-07-12 02:46:40,BRANCH MARKETING MANAGER CAB.CAWANG JAKTIM,PT Kresna Reksa Finance,Sales and Marketing,Lulus program Sarjana (S1), ,East Jakarta,7250000.0,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268903/branch-marketing-manager-cab-cawang-jaktim
268931,2026-07-12 02:46:40,BRANCH MARKETING MANAGER CAB.SURABAYA,PT Kresna Reksa Finance,Sales and Marketing,Lulus program Sarjana (S1), ,Surabaya,7250000.0,month,Full time,Financial Services,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268931/branch-marketing-manager-cab-surabaya
267648,2026-07-12 02:46:40,Buyer Acquisition,PT. Serasi Autoraya (SERA),Sales and Marketing,Lulus program Diploma (D3), ,Medan,,,Full time,Transportation,False,False,False,https://www.kalibrr.com/id-ID/c/pt-serasi-autoraya-sera-1/jobs/267648/buyer-acquisition-2
269685,2026-07-12 02:46:40,Community Officer Indramayu,BTPN Syariah,Sales and Marketing,Lulus SMA, ,Indramayu,3200000.0,month,Full time,Banking / Mortgage,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269685/community-officer-indramayu
269699,2026-07-12 02:46:40,Community Officer Semarang,BTPN Syariah,Sales and Marketing,Lulus SMA, ,Semarang Kota,4200000.0,month,Full time,Banking / Mortgage,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269699/community-officer-semarang
269714,2026-07-12 02:46:40,Community Officer Lampung,BTPN Syariah,Sales and Marketing,Lulus SMA, ,Bandar Lampung,3500000.0,month,Full time,Banking / Mortgage,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269714/community-officer-lampung
269718,2026-07-12 02:46:40,Community Officer Aceh,BTPN Syariah,Sales and Marketing,Lulus SMA, ,Banda Aceh,4500000.0,month,Full time,Banking / Mortgage,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269718/community-officer-aceh
