id,scraped_at,title,company_name,industry,specialization,education_level,work_experience,city,salary,salary_interval,job_type,is_hybrid,is_wfh,is_fresh_grad,url
267451,2026-07-12 02:49:57,IT Asset Management Staff,Bussan Auto Finance,Financial Services,IT and Software,Lulus program Sarjana (S1), ,Kota Jakarta Selatan,,,Full time,False,False,False,https://www.kalibrr.com/id-ID/c/bussan-auto-finance/jobs/267451/it-asset-management-staff
251100,2026-07-12 02:49:57,Partner Growth & Enablement Executive,Odoo,Information Technology / IT,Sales and Marketing,Lulus program Sarjana (S1), ,Tangerang,10750000.0,month,Full time,False,False,False,https://www.kalibrr.com/id-ID/c/odoo/jobs/251100/partner-growth-enablement-executive
268965,2026-07-12 02:49:57,ACCOUNT OFFICER CAB.PURBALINGGA,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus SMA, ,Purbalingga,,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268965/account-officer-cab-purbalingga
268903,2026-07-12 02:49:57,BRANCH MARKETING MANAGER CAB.CAWANG JAKTIM,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus program Sarjana (S1), ,East Jakarta,7250000.0,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268903/branch-marketing-manager-cab-cawang-jaktim
268931,2026-07-12 02:49:57,BRANCH MARKETING MANAGER CAB.SURABAYA,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus program Sarjana (S1), ,Surabaya,7250000.0,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268931/branch-marketing-manager-cab-surabaya
268925,2026-07-12 02:49:57,BRANCH MARKETING MANAGER CAB.BOGOR,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus program Sarjana (S1), ,Bogor,7250000.0,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268925/branch-marketing-manager-cab-bogor
268928,2026-07-12 02:49:57,BRANCH MARKETING MANAGER CAB.PURBALINGGA,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus program Sarjana (S1), ,Purbalingga,7250000.0,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268928/branch-marketing-manager-cab-purbalingga
268946,2026-07-12 02:49:57,BRANCH MARKETING MANAGER CAB.KENDARI,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus program Sarjana (S1), ,Kendari,7250000.0,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268946/branch-marketing-manager-cab-kendari
268953,2026-07-12 02:49:57,ACCOUNT OFFICER CAB.CIKARANG,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus SMA, ,Bekasi Regency,,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268953/account-officer-cab-cikarang
268955,2026-07-12 02:49:57,ACCOUNT OFFICER CAB.TANGERANG,PT Kresna Reksa Finance,Financial Services,Sales and Marketing,Lulus SMA, ,Tangerang,,month,Full time,True,False,False,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268955/account-officer-cab-tangerang
267648,2026-07-12 02:49:57,Buyer Acquisition,PT. Serasi Autoraya (SERA),Transportation,Sales and Marketing,Lulus program Diploma (D3), ,Medan,,,Full time,False,False,False,https://www.kalibrr.com/id-ID/c/pt-serasi-autoraya-sera-1/jobs/267648/buyer-acquisition-2
269685,2026-07-12 02:49:57,Community Officer Indramayu,BTPN Syariah,Banking / Mortgage,Sales and Marketing,Lulus SMA, ,Indramayu,3200000.0,month,Full time,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269685/community-officer-indramayu
269699,2026-07-12 02:49:57,Community Officer Semarang,BTPN Syariah,Banking / Mortgage,Sales and Marketing,Lulus SMA, ,Semarang Kota,4200000.0,month,Full time,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269699/community-officer-semarang
269714,2026-07-12 02:49:57,Community Officer Lampung,BTPN Syariah,Banking / Mortgage,Sales and Marketing,Lulus SMA, ,Bandar Lampung,3500000.0,month,Full time,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269714/community-officer-lampung
269718,2026-07-12 02:49:57,Community Officer Aceh,BTPN Syariah,Banking / Mortgage,Sales and Marketing,Lulus SMA, ,Banda Aceh,4500000.0,month,Full time,False,False,True,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269718/community-officer-aceh
